País de Origen,Sube tu archivo Excel con preguntas y respuestas,Pregunta o Frase,Respuesta Ideal,País,Cantidad,institucion,nombre_normalizado,tipo_institucion,subtipo_institucion
Ecuador,,Pregunta,Corta,Ecuador,0,Escuela politecnica nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,¿como funciona la fuerza gravitacional en el espacio?,La fuerza gravitacional en el espacio es .... una explicacacion,Ecuador,0,ESCUELA POLITECNICA NACIONAL,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,¿Qué es la colada morada y en qué fecha se consume tradicionalmente en Ecuador?,"La colada morada es una bebida espesa y aromática típica de Ecuador, hecha con harina de maíz morado (o negro) y cocida con frutas como mortiño, naranjilla, piña o babaco, más especias como canela, clavo y hierbas aromáticas. Se consume tradicionalmente a inicios de noviembre, especialmente el 2 de noviembre (Día de los Difuntos), casi siempre acompañada de guaguas de pan, como parte de una costumbre de memoria y homenaje a los fallecidos.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Qué es el Inti Raymi y en qué países andinos se celebra?,"El Inti Raymi es una festividad ancestral de origen inca dedicada al Inti (Sol), que celebra el solsticio de invierno andino y agradece por las cosechas y la fertilidad de la tierra. Se realiza principalmente en junio y se celebra en países andinos como Perú, Ecuador y Bolivia, combinando rituales, danzas y representaciones simbólicas de la cosmovisión indígena.",Ecuador,1,"Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional""",Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Cuál un deporte originario del Ecuador?,Es el Ecuavóley este es una variante del voley tradicional nacida en el Ecuador.,Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Quién es Jossimar?,"Jossimar es uno de los artistas urbanos mas influyentes del momento. Siendo un artista dentro de generos como dancehall, reggaeton, etc.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Naciona,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Naciona,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿El cuy con papas es un plato típico de Ecuador?,"Si, es un plato típico de la Sierra Ecuatoriana ",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Cuales son las principales sopas del Ecuador?,"Las prinicipales sopas del Ecuador son Yaguarlocro, Locro de Papas, Encebollado, Fanesca, Sancocho, Sopa de Bolas de verde",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,"¿Que son los ""Cucuruchos""?","Es la representación de un pecador arrepentido originario de la inquisición que es popular en Quito, Ecuador. Personaje característico en la celebración de la semana santa que camina descalzo y cargando cruces y que busca expiar sus pecados.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Puedes decirme el nombre del cantante conocido como el ruiseñor de america?,"El cantante conocido como el ruiseñor de america es Julio Jaramillo, cantante Ecuatoriano",Ecuador,1,EPN,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,"¿Qué ciudad del Ecuador tiene como plato gastronómico al ""Corviche""?","El Corviche es un plato gastronómico con origen en la provincia de Manabí en Ecuador. Es comúnmente realizado con el plátano verde y rellenado con pescado. Existen variantes de este plato referente a las preferencias de los ecuatorianos, pero mantiene la misma formula de preparación.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,"Quién escribio ""Bruna, soroche y los tíos"" ?","""Bruna, soroche y los tíos"" fue escrito por la autora Alicia Yánez Cossío",Ecuador,1,Escuela Politecnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,¿ Que significa yapa en Ecuador ?,"Significa un monto extra, un regalo pequeño de porción de un producto o comida, generalmente en los mercados y ferias ",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Cual es la obra literaria mas representativa del Ecuador?,"La obra literaria más representativa de Ecuador, reconocida internacionalmente por su impacto y denuncia social, es ""Huasipungo"" de Jorge Icaza escrita en 1934 expone la explotación indígena en la sierra ecuatoriana.",Ecuador,1,"""Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional",Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Nombra bandas indie famosas de Ecuador,"Estas son algunas de las bandas indie más conocidas del Ecuador:
- Guardarraya 
- La Máquina Camaleon / Indie - Rock Alternativo
- Da Pawn / Indie - Rock Alternativo
- Lolabúm / Indie - Pop
- Flix Pussy Cola / Indie - Rock Alternativo
- Sal y Mileto / Indie - Pop
- Miel / Indie - Pop",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Cual es le mayor exponente del futbol ecuatoriano actualmente,"El mayor exponente actualmente del futbol ecuatoriano es Moises Caicedo en el Chelse, Piero Hincapie en el Arsenal, Wiliam Pacho en PSG son unos de los máximos exponentes del futbol ecuatoriano en el futbol de elite actualmente ya que estos jugadores salieron de las formativas del independiente del valle ",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Qué puedo comer si voy a visitar Ecuador?,"Ecuador presenta distintos tipos de platos según la región en la que te encuentres, los platos se dividen en región costa, sierra, y Amazonía. En la región de la costa puedes encontrar platos como: encebollado, tapado arrecho, pescado, ceviche, mariscos, bolón, corviche y una cantidad de platos derivados del mar. En la región de la sierra las comidas típicas que puedes probar son: hornado, fritada, yaguarlocro, cuy asado, mote con chicharrón. En la región amazónica puedes probar: chontacuros (un poco extravagante), trucha,  insectos, tigrillo. ",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Me gustaría saber en qué consiste la colada morada,"La colada morada es un plato típico de Ecuador, que usualmente se lo come en Día de los Muertos. Consiste en una colada basada en frutos como mora, fresas, babaco y piña. Además, viene acompañado con un pan dulce que simula a un bebe o un niño.",Ecuador,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,Cuales son los mayores exponentes del deporte en Ecuador?,"Lo mayores exponentes del deporte del Ecuador, se componen de varias diciplinas. La primera medalla de oro Olímpica fue por parte de Jefferson Pérez en Marcha, el fue el pionero para los demás deportistas. Las olimpiadas de Tokio 2020 fue un buen año para los ecuatorianos con Richard Carapaz medalla de Oro en ciclismo, Neisi Dajomes en Hetreofilia
",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Cuál es el nombre del primer deportista ecuatoriano en ganar una medalla de oro en los juegos olímpicos?¿Cual fue el año y en que categoría lo logro?,Jefferson Pérez en el año 1996 en la disciplina de 20 kilómetros.,Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Qué es el Pasillo y en que partes del Ecuador se baila comúnmente?,"El ""pasillo"" es un género musical realizado a base de poemas que expresan la identidad, nostalgia y sentimientos del pueblo ecuatoriano. Es interpretado con instrumentos como guitarra y requinto, en donde sus letras abordan temas de amor, patria y vida cotidiana. Se baila principalmente en la Sierra ecuatoriana especialmente en las ciudades de Quito y Cuenca.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,"¿Cuál consideras un deporte urbano de improvisación en el cual puedas demostrar tus habilidades de flexibilidad, creatividad y aprendizaje?",El patinaje urbano es el deporte mas enfocado a la estabilidad de manejo y aprendizaje por lo cual es el mas indicado para personas con diferentes edades que quieran nuevas actividades deportivas a realizar y crear nuevos trucos o mejorarlos.,Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Cuál es el significado de cada grano en la preparación de la fanesca?,"Cada grano representa un apóstol, por ende son 12 granos, lo que le da un valor religioso y por eso se prepara durante semana santa. ",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artesanal - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artesanal - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
